customerID,Probabilidad_Churn,Riesgo_Churn
7590-VHVEG,0.6291070143384889,Alto
5575-GNVDE,0.046660227383642845,Bajo
3668-QPYBK,0.3012277109439009,Medio
7795-CFOCW,0.025631434871858753,Bajo
9237-HQITU,0.6877319072297433,Alto
9305-CDSKC,0.797716052713141,Alto
1452-KIOVK,0.4796600898530175,Alto
6713-OKOMC,0.3134101092945558,Medio
7892-POOKP,0.6174261395773564,Alto
6388-TABGU,0.009017837289846582,Bajo
9763-GRSKD,0.1985539968590998,Bajo
7469-LKBCI,0.027975180858892706,Bajo
8091-TTVAX,0.20692274938356908,Bajo
0280-XJGEX,0.4419335054638888,Alto
5129-JLPIS,0.43360668892471915,Alto
3655-SNQYZ,0.037912928638680364,Bajo
8191-XWSZG,0.008264977381258474,Bajo
9959-WOFKT,0.04992302530493115,Bajo
4190-MFLUW,0.15894338637744887,Bajo
4183-MYFRB,0.5528392238087846,Alto
8779-QRDMV,0.7443900008175772,Alto
1680-VDCWW,0.06002766053855098,Bajo
1066-JKSGK,0.19629241470092576,Bajo
3638-WEABW,0.01647415601277974,Bajo
6322-HRPFA,0.02155061286836097,Bajo
6865-JZNKO,0.10385692615135302,Bajo
6467-CHFZW,0.47859398878872683,Alto
8665-UTDHZ,0.48189196723635713,Alto
5248-YGIJN,0.01699638150575402,Bajo
8773-HHUOZ,0.34865047506345676,Medio
3841-NFECX,0.03254420471560999,Bajo
4929-XIHVW,0.7407493078939971,Alto
6827-IEAUQ,0.02935249760072373,Bajo
7310-EGVHZ,0.18089491897875418,Bajo
3413-BMNZE,0.3981334822503579,Alto
6234-RAAPL,0.02106220235141805,Bajo
6047-YHPVI,0.6634276627380378,Alto
6572-ADKRS,0.25717694783943845,Medio
5380-WJKOV,0.6220082106536134,Alto
8168-UQWWF,0.7210415096094732,Alto
8865-TNMNX,0.11946195147314491,Bajo
9489-DEDVP,0.012015039388394603,Bajo
9867-JCZSP,0.040741757700786044,Bajo
4671-VJLCL,0.014296106950518755,Bajo
4080-IIARD,0.2920607103465923,Medio
3714-NTNFO,0.43940503922182944,Alto
5948-UJZLF,0.3275344943655943,Medio
7760-OYPDY,0.7303946692786568,Alto
7639-LIAYI,0.03305307814533436,Bajo
2954-PIBKO,0.00649476149406355,Bajo
8012-SOUDQ,0.5166085851451285,Alto
9420-LOJKX,0.4646665596381336,Alto
6575-SUVOI,0.21541033842601753,Bajo
7495-OOKFY,0.6369578792725844,Alto
4667-QONEA,0.01833999895741331,Bajo
1658-BYGOY,0.7798357151611486,Alto
8769-KKTPH,0.140447934426036,Bajo
5067-XJQFU,0.19516328542697042,Bajo
3957-SQXML,0.012473576978441476,Bajo
5954-BDFSG,0.09541380868407025,Bajo
0434-CSFON,0.5843276403869383,Alto
1215-FIGMP,0.2792792112516432,Medio
0526-SXDJP,0.00554411840099671,Bajo
0557-ASKVU,0.08767253779412044,Bajo
5698-BQJOH,0.734285416296712,Alto
5122-CYFXA,0.4487722928233596,Alto
8627-ZYGSZ,0.22212866485786364,Bajo
3410-YOQBQ,0.0474424786400541,Bajo
3170-NMYVV,0.003545049342004411,Bajo
7410-OIEDU,0.4583068298002002,Alto
2273-QCKXA,0.2831624579112473,Medio
0731-EBJQB,0.011891147012588877,Bajo
1891-QRQSA,0.07242241319625983,Bajo
8028-PNXHQ,0.003931277717433071,Bajo
5630-AHZIL,0.21186673592533922,Bajo
2673-CXQEU,0.22453067102620775,Bajo
6416-JNVRK,0.05389763156895396,Bajo
5590-ZSKRV,0.1601527616803284,Bajo
0191-ZHSKZ,0.2659335502514431,Medio
3887-PBQAO,0.017953243728433908,Bajo
5919-TMRGD,0.6859754539084797,Alto
8108-UXRQN,0.4145372653000615,Alto
9191-MYQKX,0.5651833086713662,Alto
9919-YLNNG,0.3054353826725189,Medio
0318-ZOPWS,0.006902478380597376,Bajo
4445-ZJNMU,0.694027920844708,Alto
4808-YNLEU,0.07606107328208823,Bajo
1862-QRWPE,0.004128427189940751,Bajo
2796-NNUFI,0.006869560963002247,Bajo
3016-KSVCP,0.2740335162674326,Medio
4767-HZZHQ,0.22333176742599517,Bajo
2424-WVHPL,0.5573387787919349,Alto
7233-PAHHL,0.02015795054740866,Bajo
6067-NGCEU,0.27272661508354773,Medio
9848-JQJTX,0.11381118475007944,Bajo
8637-XJIVR,0.5815831624143454,Alto
9803-FTJCG,0.009895447722121682,Bajo
0278-YXOOG,0.1641983986449359,Bajo
3212-KXOCR,0.004212439110333274,Bajo
4598-XLKNJ,0.6495349269585607,Alto
6380-ARCEH,0.19619483406964736,Bajo
3679-XASPY,0.20008201378898838,Bajo
7123-WQUHX,0.1789420165008678,Bajo
5386-THSLQ,0.0339027851030792,Bajo
3192-NQECA,0.09544829917514329,Bajo
6180-YBIQI,0.47745103845964704,Alto
6728-DKUCO,0.13351221591718918,Bajo
9750-BOOHV,0.07129159958073042,Bajo
8597-CWYHH,0.28109610317370354,Medio
2848-YXSMW,0.0011399765321186927,Bajo
0486-HECZI,0.3064552217341526,Medio
4549-ZDQYY,0.014796244361636375,Bajo
5712-AHQNN,0.39638378779418226,Alto
4846-WHAFZ,0.5266797600098252,Alto
5256-SKJGO,0.024294096579309934,Bajo
3071-VBYPO,0.4383654785355763,Alto
9560-BBZXK,0.03071476797859179,Bajo
5299-RULOA,0.6543517468595795,Alto
8402-OOOHJ,0.008173189814259166,Bajo
9445-ZUEQE,0.27584733352210294,Medio
1091-SOZGA,0.22876488644387177,Bajo
2928-HLDBA,0.15674760694213893,Bajo
0404-SWRVG,0.7478975207400671,Alto
6497-TILVL,0.18939777415641249,Bajo
7219-TLZHO,0.1385718653300481,Bajo
4622-YNKIJ,0.11171203533998988,Bajo
4412-YLTKF,0.6139802805486986,Alto
6734-PSBAW,0.003170851910054485,Bajo
